date,count
2015-01-04,6428
2015-01-11,5076
2015-01-18,4599
2015-01-25,4112
2015-02-01,3844
2015-02-08,3498
2015-02-15,3402
2015-02-22,3144
2015-03-01,2971
2015-03-08,2744
2015-03-15,2507
2015-03-22,2350
2015-03-29,2073
2015-04-05,2029
2015-04-12,1782
2015-04-19,1664
2015-04-26,1568
2015-05-03,1353
2015-05-10,1333
2015-05-17,1173
2015-05-24,1067
2015-05-31,977
2015-06-07,976
2015-06-14,912
2015-06-21,925
2015-06-28,922
2015-07-05,851
2015-07-12,832
2015-07-19,722
2015-07-26,703
2015-08-02,730
2015-08-09,739
